condition,draw,doc_id,target_tokens,n_chunks,fact_id,fact_class,gold,distractor,prediction,semantic_hit,exact_hit,distractor_hit,clean_hit,answer_logprob,distractor_logprob,rank_margin,n_prompt_tokens,n_active_positions,n_generated
NOCTX,A,A-s11-d0-t1024,1024,4,A-0-proper_noun-0,proper_noun,Ingrid Nieminen,Ingrid Brannigan,UNKNOWN,False,False,False,False,-6.578958988189697,-6.232505798339844,-0.3464531898498535,93,93,2
NOCTX,A,A-s11-d0-t1024,1024,4,A-0-composition-0,composition,Longmere,Ashcombe,UNKNOWN,False,False,False,False,-12.921573638916016,-10.60927963256836,-2.3122940063476562,102,102,2
NATIVE,A,A-s11-d1-t1024,1024,4,A-1-semantic-0,semantic,blue,teal,blue,True,True,False,True,-0.00013124081306159496,-16.875064849853516,16.874933609040454,1268,1268,2
NATIVE,A,A-s11-d1-t1024,1024,4,A-1-identifier-0,identifier,MB-5966-MB,XD-7191-KP,MB-5966-MB,True,True,False,True,-4.470347647611561e-08,-5.1883392333984375,5.188339188694961,1273,1273,9
NATIVE,A,A-s11-d1-t1024,1024,4,A-1-number-0,number,"10,212","36,089","10,212",True,True,False,True,0.0,-5.229170322418213,5.229170322418213,1275,1275,7
NATIVE,A,A-s11-d1-t1024,1024,4,A-1-date-0,date,2030-11-02,2031-12-09,2030-11-02,True,True,False,True,0.0,-3.3375000953674316,3.3375000953674316,1273,1273,11
NATIVE,A,A-s11-d1-t1024,1024,4,A-1-hash-0,hash,a5b9ace87ce8a58c,8c97836ca7e544dc,a5b9ace87ce8a58c,True,True,False,True,0.0,-3.219542980194092,3.219542980194092,1271,1271,14
NATIVE,A,A-s11-d1-t1024,1024,4,A-1-path-0,path,/opt/vestry/spool/kx82.log,/srv/calder/spool/kx11.log,/opt/vestry/spool/kx82.log,True,True,False,True,-2.206188946729526e-05,-1.4502369165420532,1.450214854652586,1272,1272,12
NATIVE,A,A-s11-d1-t1024,1024,4,A-1-url-0,url,https://depot.example.net/rel/1536,https://relay.example.org/rel/7684,https://depot.example.net/rel/1536,True,True,False,True,-1.3754905126006634e-07,-3.380267858505249,3.3802677209561978,1271,1271,14
NATIVE,A,A-s11-d1-t1024,1024,4,A-1-proper_noun-0,proper_noun,Rowena Ashgrove,Miriam Vantol,Rowena Ashgrove,True,True,False,True,-2.1219152586127166e-06,-9.774999618530273,9.774997496615015,1273,1273,6
NATIVE,A,A-s11-d1-t1024,1024,4,A-1-composition-0,composition,Fennhollow,Ravensgate,Fennhollow,True,True,False,True,-0.00010923209629254416,-3.8752381801605225,3.87512894806423,1282,1282,5
NOCTX,A,A-s11-d1-t1024,1024,4,A-1-semantic-0,semantic,blue,teal,UNKNOWN,False,False,False,False,-8.032249450683594,-8.922380447387695,0.8901309967041016,88,88,2
NOCTX,A,A-s11-d1-t1024,1024,4,A-1-identifier-0,identifier,MB-5966-MB,XD-7191-KP,UNKNOWN,False,False,False,False,-5.812419414520264,-6.596231937408447,0.7838125228881836,93,93,2
NOCTX,A,A-s11-d1-t1024,1024,4,A-1-number-0,number,"10,212","36,089",1250000,False,False,False,False,-3.1047983169555664,-3.277233839035034,0.17243552207946777,95,95,8
NOCTX,A,A-s11-d1-t1024,1024,4,A-1-date-0,date,2030-11-02,2031-12-09,2023-04-15,False,False,False,False,-2.928515911102295,-3.1397902965545654,0.2112743854522705,93,93,11
NOCTX,A,A-s11-d1-t1024,1024,4,A-1-hash-0,hash,a5b9ace87ce8a58c,8c97836ca7e544dc,7a1d0e3c3d8e3a3e3d8e3a3e3d8e3a3e3d8e3a3e3d8e3a3e,False,False,False,False,-4.379047870635986,-3.4295589923858643,-0.9494888782501221,91,91,48
NOCTX,A,A-s11-d1-t1024,1024,4,A-1-path-0,path,/opt/vestry/spool/kx82.log,/srv/calder/spool/kx11.log,/proc/mirren-4613/diagnostics,False,False,False,False,-8.844054222106934,-7.5399556159973145,-1.3040986061096191,92,92,13
NOCTX,A,A-s11-d1-t1024,1024,4,A-1-url-0,url,https://depot.example.net/rel/1536,https://relay.example.org/rel/7684,https://mirror.example.com/calder-4632,False,False,False,False,-4.656231880187988,-5.1182122230529785,0.46198034286499023,91,91,13
NOCTX,A,A-s11-d1-t1024,1024,4,A-1-proper_noun-0,proper_noun,Rowena Ashgrove,Miriam Vantol,UNKNOWN,False,False,False,False,-6.877516269683838,-7.462636470794678,0.5851202011108398,93,93,2
NOCTX,A,A-s11-d1-t1024,1024,4,A-1-composition-0,composition,Fennhollow,Ravensgate,BRAVO-4640 Facility,False,False,False,False,-9.226539611816406,-6.574150085449219,-2.6523895263671875,102,102,10
NATIVE,A,A-s11-d2-t1024,1024,4,A-2-semantic-0,semantic,olive,teal,olive,True,True,False,True,-0.0022049148101359606,-13.158454895019531,13.156249980209395,1158,1158,3
NATIVE,A,A-s11-d2-t1024,1024,4,A-2-identifier-0,identifier,MB-3506-QZ,XD-3783-MB,MB-3506-QZ,True,True,False,True,-1.4901160305669237e-08,-5.528151035308838,5.528151020407678,1162,1162,9
NATIVE,A,A-s11-d2-t1024,1024,4,A-2-number-0,number,"13,624","44,075","13,624",True,True,False,True,0.0,-5.416764736175537,5.416764736175537,1165,1165,7
NATIVE,A,A-s11-d2-t1024,1024,4,A-2-date-0,date,2029-09-05,2029-11-21,2029-09-05,True,True,False,True,0.0,-2.962775468826294,2.962775468826294,1163,1163,11
NATIVE,A,A-s11-d2-t1024,1024,4,A-2-hash-0,hash,dda6debf4fe35f9b,a43ff0442231aa63,dda6debf4fe35f9b,True,True,False,True,-7.31975378585048e-05,-1.988812804222107,1.9887396066842484,1161,1161,12
NATIVE,A,A-s11-d2-t1024,1024,4,A-2-path-0,path,/opt/vestry/spool/kx56.log,/opt/vestry/spool/kx28.log,/opt/vestry/spool/kx56.log,True,True,False,True,-1.0305603609594982e-05,-3.06819224357605,3.06818193797244,1162,1162,12
NATIVE,A,A-s11-d2-t1024,1024,4,A-2-url-0,url,https://depot.example.net/rel/6297,https://relay.example.org/rel/9830,https://depot.example.net/rel/6297,True,True,False,True,-1.7422877363060252e-07,-3.3397223949432373,3.3397222207144637,1161,1161,14
NATIVE,A,A-s11-d2-t1024,1024,4,A-2-proper_noun-0,proper_noun,Rowena Vantol,Dagny Okonkwo,Rowena Vantol,True,True,False,True,-3.3378321404597955e-06,-6.527298450469971,6.52729511263783,1163,1163,6
NATIVE,A,A-s11-d2-t1024,1024,4,A-2-composition-0,composition,Fennhollow,Ravensgate,Rowena Sorley.,False,False,False,False,-1.1277656555175781,-2.87947154045105,1.7517058849334717,1172,1172,6
NOCTX,A,A-s11-d2-t1024,1024,4,A-2-semantic-0,semantic,olive,teal,UNKNOWN,False,False,False,False,-8.701592445373535,-9.139041900634766,0.43744945526123047,88,88,2
NOCTX,A,A-s11-d2-t1024,1024,4,A-2-identifier-0,identifier,MB-3506-QZ,XD-3783-MB,UNKNOWN,False,False,False,False,-7.0418291091918945,-5.808856964111328,-1.2329721450805664,92,92,2
NOCTX,A,A-s11-d2-t1024,1024,4,A-2-number-0,number,"13,624","44,075",1250000,False,False,False,False,-2.8862762451171875,-3.3543145656585693,0.46803832054138184,95,95,8
NOCTX,A,A-s11-d2-t1024,1024,4,A-2-date-0,date,2029-09-05,2029-11-21,"July 1, 2021",False,False,False,False,-3.0833683013916016,-3.605701446533203,0.5223331451416016,93,93,10
NOCTX,A,A-s11-d2-t1024,1024,4,A-2-hash-0,hash,dda6debf4fe35f9b,a43ff0442231aa63,3a7d6f8e9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c,False,False,False,False,-5.2874345779418945,-3.556840658187866,-1.7305939197540283,91,91,48
NOCTX,A,A-s11-d2-t1024,1024,4,A-2-path-0,path,/opt/vestry/spool/kx56.log,/opt/vestry/spool/kx28.log,/scratch/Harlow-7931/diagnostics,False,False,False,False,-8.478803634643555,-8.42642593383789,-0.05237770080566406,92,92,13
NOCTX,A,A-s11-d2-t1024,1024,4,A-2-url-0,url,https://depot.example.net/rel/6297,https://relay.example.org/rel/9830,https://mirror.example.com/calder-7935,False,False,False,False,-4.452550888061523,-4.997294902801514,0.5447440147399902,91,91,13
NOCTX,A,A-s11-d2-t1024,1024,4,A-2-proper_noun-0,proper_noun,Rowena Vantol,Dagny Okonkwo,UNKNOWN,False,False,False,False,-8.619437217712402,-4.658164978027344,-3.9612722396850586,93,93,2
NOCTX,A,A-s11-d2-t1024,1024,4,A-2-composition-0,composition,Fennhollow,Ravensgate,UNKNOWN,False,False,False,False,-9.166818618774414,-6.553219795227051,-2.6135988235473633,102,102,2
NATIVE,A,A-s11-d3-t1024,1024,4,A-3-semantic-0,semantic,slate,blue,slate,True,True,False,True,-0.0373578816652298,-7.824715614318848,7.787357732653618,1185,1185,3
NATIVE,A,A-s11-d3-t1024,1024,4,A-3-identifier-0,identifier,KP-6338-KP,RT-2905-XD,KP-6338-KP,True,True,False,True,-2.2351721895574883e-07,-4.4921875,4.492187276482781,1189,1189,9
NATIVE,A,A-s11-d3-t1024,1024,4,A-3-number-0,number,"37,540","29,265","37,540",True,True,False,True,0.0,-5.104849815368652,5.104849815368652,1191,1191,7
NATIVE,A,A-s11-d3-t1024,1024,4,A-3-date-0,date,2032-07-08,2031-02-01,2032-07-08,True,True,False,True,0.0,-2.975407838821411,2.975407838821411,1189,1189,11
NATIVE,A,A-s11-d3-t1024,1024,4,A-3-hash-0,hash,23ec1ebfff0a7213,a02a0e34c7372f5d,23ec1ebfff0a7213,True,True,False,True,-3.158986146445386e-06,-2.265627145767212,2.2656239867810655,1188,1188,13
NATIVE,A,A-s11-d3-t1024,1024,4,A-3-path-0,path,/var/opt/mirren/spool/kx37.log,/var/opt/mirren/spool/kx93.log,/var/opt/mirren/spool/kx37.log,True,True,False,True,-2.0563370526360814e-06,-3.197918653488159,3.1979165971511065,1189,1189,13
NATIVE,A,A-s11-d3-t1024,1024,4,A-3-url-0,url,https://depot.example.net/rel/8703,https://depot.example.net/rel/6775,https://depot.example.net/rel/8703,True,True,False,True,-1.3754905126006634e-07,-2.576923131942749,2.5769229943936978,1189,1189,14
NATIVE,A,A-s11-d3-t1024,1024,4,A-3-proper_noun-0,proper_noun,Anselm Sorley,Ingrid Delacroix,Anselm Sorley,True,True,False,True,-2.384185648907078e-08,-6.050675868988037,6.050675845146181,1190,1190,6
NATIVE,A,A-s11-d3-t1024,1024,4,A-3-composition-0,composition,Draywell,Ravensgate,Draywell,True,True,False,True,-0.04046783223748207,-0.9681501984596252,0.9276823662221432,1200,1200,4
NOCTX,A,A-s11-d3-t1024,1024,4,A-3-semantic-0,semantic,slate,blue,Red,False,False,False,False,-8.59758472442627,-7.2561187744140625,-1.341465950012207,88,88,2
NOCTX,A,A-s11-d3-t1024,1024,4,A-3-identifier-0,identifier,KP-6338-KP,RT-2905-XD,UNKNOWN,False,False,False,False,-5.523426055908203,-5.515931129455566,-0.007494926452636719,92,92,2
NOCTX,A,A-s11-d3-t1024,1024,4,A-3-number-0,number,"37,540","29,265",1250000,False,False,False,False,-2.9938457012176514,-2.6809444427490234,-0.31290125846862793,94,94,8
NOCTX,A,A-s11-d3-t1024,1024,4,A-3-date-0,date,2032-07-08,2031-02-01,2023-04-15,False,False,False,False,-2.349215030670166,-2.021040678024292,-0.328174352645874,92,92,11
NOCTX,A,A-s11-d3-t1024,1024,4,A-3-hash-0,hash,23ec1ebfff0a7213,a02a0e34c7372f5d,0x3a7d6f8e1c2b4a5f6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f,False,False,False,False,-4.459517955780029,-2.918959140777588,-1.5405588150024414,91,91,48
NOCTX,A,A-s11-d3-t1024,1024,4,A-3-path-0,path,/var/opt/mirren/spool/kx37.log,/var/opt/mirren/spool/kx93.log,/ordell-1192/diagnostics,False,False,False,False,-7.642934799194336,-7.793172359466553,0.1502375602722168,92,92,11
NOCTX,A,A-s11-d3-t1024,1024,4,A-3-url-0,url,https://depot.example.net/rel/8703,https://depot.example.net/rel/6775,https://mirror.example.com/Vestry-1218,False,False,False,False,-4.163498878479004,-4.153562545776367,-0.009936332702636719,92,92,14
NOCTX,A,A-s11-d3-t1024,1024,4,A-3-proper_noun-0,proper_noun,Anselm Sorley,Ingrid Delacroix,UNKNOWN,False,False,False,False,-8.027711868286133,-7.321177005767822,-0.7065348625183105,93,93,2
NOCTX,A,A-s11-d3-t1024,1024,4,A-3-composition-0,composition,Draywell,Ravensgate,CEDAR-1260 Facility,False,False,False,False,-13.75426959991455,-6.323192596435547,-7.431077003479004,103,103,9
NATIVE,A,A-s11-d4-t1024,1024,4,A-4-semantic-0,semantic,crimson,slate,crimson,True,True,False,True,-0.00039823882980272174,-12.469148635864258,12.468750397034455,1180,1180,3
NATIVE,A,A-s11-d4-t1024,1024,4,A-4-identifier-0,identifier,QZ-9825-RT,XD-2702-QZ,QZ-9825-RT,True,True,False,True,0.0,-4.59375,4.59375,1187,1187,10
NATIVE,A,A-s11-d4-t1024,1024,4,A-4-number-0,number,"29,897","14,423","29,897",True,True,False,True,0.0,-4.880484104156494,4.880484104156494,1188,1188,7
NATIVE,A,A-s11-d4-t1024,1024,4,A-4-date-0,date,2031-06-12,2030-01-13,2031-06-12,True,True,False,True,0.0,-3.7375431060791016,3.7375431060791016,1187,1187,11
NATIVE,A,A-s11-d4-t1024,1024,4,A-4-hash-0,hash,15d79938b1e88735,e7946c216ba48c7f,15d79938b1e88735,True,True,False,True,0.0,-2.9541702270507812,2.9541702270507812,1185,1185,17
NATIVE,A,A-s11-d4-t1024,1024,4,A-4-path-0,path,/opt/vestry/spool/kx19.log,/var/opt/mirren/spool/kx93.log,/opt/vestry/spool/kx19.log,True,True,False,True,-1.6330212019965984e-05,-3.343766212463379,3.343749882251359,1185,1185,12
NATIVE,A,A-s11-d4-t1024,1024,4,A-4-url-0,url,https://depot.example.net/rel/9640,https://relay.example.org/rel/9153,https://depot.example.net/rel/9640,True,True,False,True,-2.567580565937533e-07,-2.9114582538604736,2.911457997102417,1186,1186,14
NATIVE,A,A-s11-d4-t1024,1024,4,A-4-proper_noun-0,proper_noun,Rowena Okonkwo,Casimir Nieminen,Rowena Okonkwo,True,True,False,True,-7.76837896410143e-06,-9.300004959106445,9.299997190727481,1187,1187,7
NATIVE,A,A-s11-d4-t1024,1024,4,A-4-composition-0,composition,Longmere,Ashcombe,Ashcombe,False,False,True,False,-8.625,-2.5629942683735862e-06,-8.624997437005732,1196,1196,3
NOCTX,A,A-s11-d4-t1024,1024,4,A-4-semantic-0,semantic,crimson,slate,Red,False,False,False,False,-6.915229797363281,-8.13498592376709,1.2197561264038086,86,86,2
NOCTX,A,A-s11-d4-t1024,1024,4,A-4-identifier-0,identifier,QZ-9825-RT,XD-2702-QZ,UNKNOWN,False,False,False,False,-5.288508892059326,-7.167059898376465,1.8785510063171387,93,93,2
NOCTX,A,A-s11-d4-t1024,1024,4,A-4-number-0,number,"29,897","14,423",123456789,False,False,False,False,-2.5308876037597656,-2.5582354068756104,0.027347803115844727,94,94,10
NOCTX,A,A-s11-d4-t1024,1024,4,A-4-date-0,date,2031-06-12,2030-01-13,"July 1, 2021",False,False,False,False,-2.651207685470581,-2.822709560394287,0.17150187492370605,93,93,10
NOCTX,A,A-s11-d4-t1024,1024,4,A-4-hash-0,hash,15d79938b1e88735,e7946c216ba48c7f,3a7d6f8e9c0b1a2d3f4e5c6d7e8f9a0b1c2d3e4f5a6b7c8d,False,False,False,False,-2.873028039932251,-3.319953441619873,0.44692540168762207,91,91,48
NOCTX,A,A-s11-d4-t1024,1024,4,A-4-path-0,path,/opt/vestry/spool/kx19.log,/var/opt/mirren/spool/kx93.log,/Calder-2542/diagnostics,False,False,False,False,-8.169201850891113,-7.493751525878906,-0.675450325012207,91,91,11
NOCTX,A,A-s11-d4-t1024,1024,4,A-4-url-0,url,https://depot.example.net/rel/9640,https://relay.example.org/rel/9153,https://mirror.example.com/Vestry-2574,False,False,False,False,-4.066628932952881,-4.874682426452637,0.8080534934997559,92,92,14
NOCTX,A,A-s11-d4-t1024,1024,4,A-4-proper_noun-0,proper_noun,Rowena Okonkwo,Casimir Nieminen,UNKNOWN,False,False,False,False,-6.452188968658447,-6.791136264801025,0.3389472961425781,93,93,2
NOCTX,A,A-s11-d4-t1024,1024,4,A-4-composition-0,composition,Longmere,Ashcombe,UNKNOWN,False,False,False,False,-12.79828929901123,-10.618841171264648,-2.179448127746582,102,102,2
NATIVE,A,A-s11-d5-t1024,1024,4,A-5-semantic-0,semantic,amber,teal,amber,True,True,False,True,-2.4437606043647975e-05,-16.156261444091797,16.156237006485753,1202,1202,2
NATIVE,A,A-s11-d5-t1024,1024,4,A-5-identifier-0,identifier,KP-8033-QZ,RT-3125-MB,KP-8033-QZ,True,True,False,True,-1.4901152667334827e-07,-4.8203125,4.820312350988473,1207,1207,9
NATIVE,A,A-s11-d5-t1024,1024,4,A-5-number-0,number,"24,843","17,521","24,843",True,True,False,True,0.0,-5.063960552215576,5.063960552215576,1209,1209,7
NATIVE,A,A-s11-d5-t1024,1024,4,A-5-date-0,date,2032-07-17,2031-10-22,2032-07-17,True,True,False,True,0.0,-2.5250003337860107,2.5250003337860107,1207,1207,11
NATIVE,A,A-s11-d5-t1024,1024,4,A-5-hash-0,hash,016bab5ca90ed5e2,cd78dc64d5cc1be3,016bab5ca90ed5e2,True,True,False,True,-1.9868211964535476e-08,-2.9583332538604736,2.9583332339922617,1205,1205,13
NATIVE,A,A-s11-d5-t1024,1024,4,A-5-path-0,path,/srv/calder/spool/kx38.log,/opt/vestry/spool/kx40.log,/srv/calder/spool/kx38.log,True,True,False,True,-3.565407041605795e-06,-4.057825088500977,4.057821523093935,1206,1206,12
NATIVE,A,A-s11-d5-t1024,1024,4,A-5-url-0,url,https://relay.example.org/rel/8108,https://depot.example.net/rel/2512,https://relay.example.org/rel/8108,True,True,False,True,-2.6822067411558237e-07,-2.216348171234131,2.2163479030134567,1206,1206,13
NATIVE,A,A-s11-d5-t1024,1024,4,A-5-proper_noun-0,proper_noun,Halvard Ashgrove,Rowena Okonkwo,Halvard Ashgrove,True,True,False,True,-2.622603005875135e-07,-6.947841167449951,6.947840905189651,1206,1206,6
NATIVE,A,A-s11-d5-t1024,1024,4,A-5-composition-0,composition,Ashcombe,Fennhollow,Ashcombe,True,True,False,True,-2.729854531935416e-05,-4.500008583068848,4.499981284523528,1217,1217,3
NOCTX,A,A-s11-d5-t1024,1024,4,A-5-semantic-0,semantic,amber,teal,Red,False,False,False,False,-16.324203491210938,-9.630857467651367,-6.69334602355957,88,88,2
NOCTX,A,A-s11-d5-t1024,1024,4,A-5-identifier-0,identifier,KP-8033-QZ,RT-3125-MB,UNKNOWN,False,False,False,False,-6.386223793029785,-4.569249153137207,-1.8169746398925781,93,93,2
NOCTX,A,A-s11-d5-t1024,1024,4,A-5-number-0,number,"24,843","17,521",1250000000000,False,False,False,False,-2.669748544692993,-2.6782302856445312,0.008481740951538086,95,95,14
NOCTX,A,A-s11-d5-t1024,1024,4,A-5-date-0,date,2032-07-17,2031-10-22,"July 1, 2021",False,False,False,False,-2.8326542377471924,-2.954887866973877,0.12223362922668457,93,93,10
NOCTX,A,A-s11-d5-t1024,1024,4,A-5-hash-0,hash,016bab5ca90ed5e2,cd78dc64d5cc1be3,0x3a7d6f8e9b2c1a4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a,False,False,False,False,-4.423414707183838,-4.1893792152404785,-0.23403549194335938,91,91,48
NOCTX,A,A-s11-d5-t1024,1024,4,A-5-path-0,path,/srv/calder/spool/kx38.log,/opt/vestry/spool/kx40.log,/proc/1234567890/stack,False,False,False,False,-7.997447490692139,-5.210666656494141,-2.786780834197998,92,92,16
NOCTX,A,A-s11-d5-t1024,1024,4,A-5-url-0,url,https://relay.example.org/rel/8108,https://depot.example.net/rel/2512,http://www.oxfordjournals.org/voj/suppl/1647/1647.pdf,False,False,False,False,-4.846912384033203,-4.116543292999268,-0.7303690910339355,92,92,27
NOCTX,A,A-s11-d5-t1024,1024,4,A-5-proper_noun-0,proper_noun,Halvard Ashgrove,Rowena Okonkwo,Calder,False,False,False,False,-10.313520431518555,-7.515419006347656,-2.7981014251708984,92,92,3
NOCTX,A,A-s11-d5-t1024,1024,4,A-5-composition-0,composition,Ashcombe,Fennhollow,CEDAR-1701 Facility,False,False,False,False,-10.372061729431152,-8.880099296569824,-1.4919624328613281,103,103,9
NATIVE,A,A-s11-d6-t1024,1024,4,A-6-semantic-0,semantic,teal,slate,teal,True,True,False,True,-0.031001733615994453,-15.187252044677734,15.15625031106174,1161,1161,3
NATIVE,A,A-s11-d6-t1024,1024,4,A-6-identifier-0,identifier,QZ-7735-MB,QZ-5751-RT,QZ-7735-MB,True,True,False,True,0.0,-3.4861111640930176,3.4861111640930176,1167,1167,10
NATIVE,A,A-s11-d6-t1024,1024,4,A-6-number-0,number,"47,108","12,816","47,108",True,True,False,True,0.0,-5.875024318695068,5.875024318695068,1169,1169,7
NATIVE,A,A-s11-d6-t1024,1024,4,A-6-date-0,date,2030-08-14,2031-09-07,2030-08-14,True,True,False,True,0.0,-2.9904751777648926,2.9904751777648926,1167,1167,11
NATIVE,A,A-s11-d6-t1024,1024,4,A-6-hash-0,hash,f0c593fd6481cee3,c2b80bbdfd732fbe,f0c593fd6481cee3,True,True,False,True,-3.209474357390718e-07,-3.2615320682525635,3.2615317473051277,1164,1164,14
NATIVE,A,A-s11-d6-t1024,1024,4,A-6-path-0,path,/opt/vestry/spool/kx33.log,/opt/vestry/spool/kx79.log,/opt/vestry/spool/kx33.log,True,True,False,True,-1.085823623725446e-05,-3.0454652309417725,3.045454372705535,1166,1166,12
NATIVE,A,A-s11-d6-t1024,1024,4,A-6-url-0,url,https://depot.example.net/rel/3527,https://depot.example.net/rel/9306,https://depot.example.net/rel/3527,True,True,False,True,-1.1003926658759156e-07,-2.625,2.6249998899607334,1166,1166,14
NATIVE,A,A-s11-d6-t1024,1024,4,A-6-proper_noun-0,proper_noun,Casimir Ashgrove,Dagny Vantol,Casimir Ashgrove,True,True,False,True,-9.536741885085576e-08,-5.625040531158447,5.625040435791028,1166,1166,6
NATIVE,A,A-s11-d6-t1024,1024,4,A-6-composition-0,composition,Longmere,Ashcombe,Ashcombe,False,False,True,False,-0.7509706616401672,-0.12600889801979065,-0.6249617636203766,1177,1177,3
NOCTX,A,A-s11-d6-t1024,1024,4,A-6-semantic-0,semantic,teal,slate,UNKNOWN,False,False,False,False,-8.562518119812012,-7.844137668609619,-0.7183804512023926,87,87,2
NOCTX,A,A-s11-d6-t1024,1024,4,A-6-identifier-0,identifier,QZ-7735-MB,QZ-5751-RT,Ordell-7682,False,False,False,False,-5.178220272064209,-5.096349239349365,-0.08187103271484375,93,93,8
NOCTX,A,A-s11-d6-t1024,1024,4,A-6-number-0,number,"47,108","12,816",1250000000000,False,False,False,False,-3.138151168823242,-2.579796314239502,-0.5583548545837402,95,95,14
NOCTX,A,A-s11-d6-t1024,1024,4,A-6-date-0,date,2030-08-14,2031-09-07,"July 1, 2020",False,False,False,False,-2.5672614574432373,-2.650075674057007,0.08281421661376953,93,93,10
NOCTX,A,A-s11-d6-t1024,1024,4,A-6-hash-0,hash,f0c593fd6481cee3,c2b80bbdfd732fbe,0x3a7d6f8e1c2b4a5f6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f,False,False,False,False,-4.146017074584961,-5.380224704742432,1.2342076301574707,90,90,48
NOCTX,A,A-s11-d6-t1024,1024,4,A-6-path-0,path,/opt/vestry/spool/kx33.log,/opt/vestry/spool/kx79.log,/ordell-7790/diagnostics,False,False,False,False,-8.452849388122559,-9.606415748596191,1.1535663604736328,92,92,11
NOCTX,A,A-s11-d6-t1024,1024,4,A-6-url-0,url,https://depot.example.net/rel/3527,https://depot.example.net/rel/9306,https://mirror.example.com/Ordell-7814,False,False,False,False,-5.033888816833496,-4.9176788330078125,-0.1162099838256836,92,92,14
