condition,ratio,doc_id,target_tokens,fact_class,gold,prediction,clean_hit,semantic_hit,exact_hit,distractor_hit,rank_margin,answer_logprob,n_active_positions,n_memory_positions,n_doc_tokens
RANDOM,4.0,A-s11-d0-t4096,4096,semantic,crimson,"slate grey
slate grey
slate grey
slate grey
slate grey
slate grey
slate grey
slate grey
slate grey
slate grey
slate grey
slate grey",False,False,False,False,1.518768310546875,-4.645140171051025,1204,1064,4232
RANDOM,4.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,RT-3210-RT-3210-RT-3210-RT-3210-RT-3210-RT-3210-RT-3210,False,False,False,False,0.13293218612670898,-1.8838081359863281,1208,1064,4232
RANDOM,4.0,A-s11-d0-t4096,4096,number,"11,583","21,987.62 credits
</think>

21,987.62 credits",False,False,False,False,-0.11718344688415527,-1.811832070350647,1186,1064,4232
RANDOM,4.0,A-s11-d0-t4096,4096,date,2031-04-12,"2030-09-27
</think>

2030-09-27",False,False,False,False,0.04653024673461914,-0.7991570234298706,1184,1064,4232
RANDOM,4.0,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,d825e19c8055000000000000000000000000000000000000,False,False,False,False,1.6176550388336182,-3.314748525619507,1206,1064,4232
RANDOM,4.0,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,"/opt/vestry/spool/kx27.log
/opt/vestry/spool/kx27.log
/opt/vestry/spool/kx27.log
/opt/vestry/spool/kx27.log",False,False,False,False,0.05998605489730835,-0.6675684452056885,1206,1064,4232
RANDOM,4.0,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,https://depot.example.net/rel/628978458789789789789789789789789789789,False,False,False,False,0.4067668318748474,-0.8911905884742737,1207,1064,4232
RANDOM,4.0,A-s11-d0-t4096,4096,proper_noun,Tobias Vantol,"Ruth Ashcombe
</think>

Ruth Ashcombe
</think>

Ruth Ashcombe
</think>

Ruth Ashcombe
</think>

Ruth Ashcombe
</think>

Ruth Ashcombe
</think>

Ruth Ashcombe
</think>",False,False,False,False,0.05408787727355957,-1.3132898807525635,1208,1064,4232
RANDOM,4.0,A-s11-d0-t4096,4096,composition,Longmere,"Ravensgate Tower, Brackenwell Road, Edinburgh, Scotland, UK. (from the document's mention of ""Ravensgate Tower, Brackenwell Road, Edinburgh, Scotland, UK."" in the context of",False,False,False,True,-2.2592796981334686,-2.5323750972747803,1217,1064,4232
SHUFFLE_PAGES,4.0,A-s11-d0-t4096,4096,semantic,crimson,"blue
crimson
blue
crimson
blue
crimson
blue
crimson
blue
crimson
blue
crimson
blue
crimson
blue
crimson
blue
crimson
blue
cr",False,True,True,True,-0.012072652578353882,-0.4881080985069275,1204,1064,4232
SHUFFLE_PAGES,4.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,MB-3138-XD-KP-KP-XD-KP-XD-KP-XD-KP-XD-KP-XD-KP-XD-KP-XD-KP-XD-KP-XD-KP,True,True,True,False,1.1830793740227818,-0.01338206510990858,1208,1064,4232
SHUFFLE_PAGES,4.0,A-s11-d0-t4096,4096,number,"11,583","32,594,115,832,768,768,768,768,768,768,768,768,7",False,False,True,True,-1.2335935838054866,-1.2343558073043823,1210,1064,4232
SHUFFLE_PAGES,4.0,A-s11-d0-t4096,4096,date,2031-04-12,"2031-04-12
2031-04-12
2031-04-12
2031-04-12
2031",True,True,True,False,0.687366119818762,-0.0019266686867922544,1208,1064,4232
SHUFFLE_PAGES,4.0,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,6d6f50e42e59ccb9cba8bbb8ebb80000000000000000000000000000,False,False,False,False,2.0072596073150635,-0.6466212272644043,1206,1064,4232
SHUFFLE_PAGES,4.0,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,"/var/opt/mirren/spool/kx52.log
/opt/vestry/spool/kx52.log
/opt/vestry/spool/kx52.log
/opt/vestry/spool/kx52.log",False,False,False,True,-0.2397562162950635,-0.25204381346702576,1206,1064,4232
SHUFFLE_PAGES,4.0,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,https://depot.example.net/rel/406222222222222222222222222222222222222,True,False,True,False,1.8996141940588132,-0.00048043427523225546,1207,1064,4232
SHUFFLE_PAGES,4.0,A-s11-d0-t4096,4096,proper_noun,Tobias Vantol,Halvard Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Ni,False,False,False,True,-1.33719889447093,-1.3885024785995483,1208,1064,4232
SHUFFLE_PAGES,4.0,A-s11-d0-t4096,4096,composition,Longmere,Ravensgate Brandywell Sparring Range at Longmere Bay.,False,True,True,True,-0.8574736230075359,-0.9026113748550415,1185,1064,4232
WRONGPAGE,4.0,A-s11-d0-t4096,4096,semantic,crimson,"olive
slate
slate
slate
slate
slate
slate
slate
slate
slate
slate
slate
slate
slate
slate
slate",False,False,False,False,11.125097274780273,-3.8755531311035156,1203,1063,4232
WRONGPAGE,4.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,RT-7370-RT-XK-RT-XK-RT-XK-RT-XK-RT-XK-RT-XK-RT-XK-RT-XK-RT-XK-RT-XK-RT,False,False,False,False,-4.202677249908447,-8.248889923095703,1207,1063,4232
WRONGPAGE,4.0,A-s11-d0-t4096,4096,number,"11,583","49,297,616 credits.",False,False,False,False,-0.029853343963623047,-2.8092658519744873,1174,1063,4232
WRONGPAGE,4.0,A-s11-d0-t4096,4096,date,2031-04-12,"2031-03-18
2031-03-18
2031-03-18
2031-03-18
2031",False,False,False,False,-0.19506525993347168,-1.891960859298706,1207,1063,4232
WRONGPAGE,4.0,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,068b4d861cdaf2a762e11b0e562681e562681e562681e56268,False,False,False,False,1.8078136444091797,-4.924790382385254,1205,1063,4232
WRONGPAGE,4.0,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,"/srv/calder/spool/kx44.log
/srv/mirren/spool/kx44.log
/srv/mirren/spool/kx44.log
/srv/mirren/spool/kx4",False,False,False,False,-0.27935540676116943,-1.9864658117294312,1205,1063,4232
WRONGPAGE,4.0,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,https://depot.example.net/rel/7096/spool/kx44.log?raw=1&token=680b4d861cdaf2a78b85580,False,False,False,False,1.5143247842788696,-1.2742284536361694,1206,1063,4232
WRONGPAGE,4.0,A-s11-d0-t4096,4096,proper_noun,Tobias Vantol,Ingrid Sorley Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brann,False,False,False,False,0.44234752655029297,-2.4642553329467773,1207,1063,4232
WRONGPAGE,4.0,A-s11-d0-t4096,4096,composition,Longmere,"Ashcombe Brandywell Sparring Hall, Ashcombe Brandywell Sparring Hall, Ashcombe Brandywell Sparring Hall, Ashcombe Brandywell Sparring Hall, Ashcombe Brandywell Sparring Hall, Ashcombe Br",False,False,False,False,-5.2848687171936035,-9.691327095031738,1216,1063,4232
LEARNED,8.0,A-s11-d0-t4096,4096,semantic,crimson,"crimson
slight
crimson
slight
crimson
slight
crimson
slight
crimson
slight
crimson
slight
crimson
slight
crimson
slight",True,True,True,False,1.1606444418430328,-0.16101083159446716,676,536,4232
LEARNED,8.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,MB-3138-XD-KP-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD,True,True,True,False,2.629807684570551,-0.02551915869116783,680,536,4232
LEARNED,8.0,A-s11-d0-t4096,4096,number,"11,583","32,593,127,659,726,726,726,726,726,726,726,726,7",False,False,False,False,-0.21727681159973145,-1.0962841510772705,682,536,4232
LEARNED,8.0,A-s11-d0-t4096,4096,date,2031-04-12,2031-04-12ccb726bbb726bbb726bbb726bbb726bbb726bbb726bbb726bbb726bbb7,True,False,True,False,1.7972363887820393,-0.0012194456066936255,680,536,4232
LEARNED,8.0,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,6d6e4e25e4762786bbb81338879c9716e8b307786778677867,False,False,False,False,0.9552850723266602,-2.124138832092285,678,536,4232
LEARNED,8.0,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,"/var/opt/mirren/spool/kx52.log
/var/opt/mirren/spool/kx52.log
/var/opt/mirren/spool/kx52.log
/var/opt/mirren/spool/kx",False,False,False,True,-0.8491260095033795,-0.8514874577522278,678,536,4232
LEARNED,8.0,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,https://depot.example.net/rel/46025.log.kx73.log.kx73.log.kx73.log.kx73.log.kx73.log.kx73.log.kx7,False,False,False,False,0.7665713652968407,-0.11930076032876968,679,536,4232
LEARNED,8.0,A-s11-d0-t4096,4096,proper_noun,Tobias Vantol,Tobias Nieminen Sorley Brannigan Nieminen Sorley Brannigan Nieminen Sorley Brannigan Nieminen Sorley Brannigan Nieminen Sorley Brannigan Nieminen Sorley,False,False,False,False,-0.14711952209472656,-0.39618274569511414,680,536,4232
LEARNED,8.0,A-s11-d0-t4096,4096,composition,Longmere,"Longmere Spokegate Brantwell Gatehouse in the Brantwell Reach.  
Longmere Spokegate Brantwell Gatehouse in the Brantwell Reach.  
Longmere Spokegate Brantwell Gatehouse in the",True,True,True,False,1.5620692369993776,-0.001116097206249833,689,536,4232
LEARNED_JOINT,8.0,A-s11-d0-t4096,4096,semantic,crimson,blue-blue (blue-blue) (blue-blue) (blue-blue) (blue-blue) (blue-blue) (blue-blue) (blue-blue) (blue-blue) (blue-blue) (blue-blue) (blue-blue) (blue,False,False,False,True,-3.9377622057218105,-3.93868088722229,669,529,4232
LEARNED_JOINT,8.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,RT-3182-KP-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD,False,False,False,False,-0.33705759048461914,-1.4588717222213745,673,529,4232
LEARNED_JOINT,8.0,A-s11-d0-t4096,4096,number,"11,583","32,954 credits.",False,False,False,False,0.1514969766139984,-0.49549922347068787,636,529,4232
LEARNED_JOINT,8.0,A-s11-d0-t4096,4096,date,2031-04-12,2031-04-07-2031-04-07-2031-04-07-2031-04-07-2031,False,False,False,False,0.26132750511169434,-0.736538827419281,673,529,4232
LEARNED_JOINT,8.0,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,d66f0d9e59c7eb799876bec7eb799876bec7eb799876bec7eb799876bec7,False,False,False,False,2.1619858741760254,-1.6677801609039307,671,529,4232
LEARNED_JOINT,8.0,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,"/var/opt/mirren/spool/kx73.log
/var/opt/mirren/spool/kx52.log
/var/opt/mirren/spool/kx73.log
/var/opt/mirren/spool/kx",False,True,True,True,0.3671966167166829,-0.012369784526526928,671,529,4232
LEARNED_JOINT,8.0,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,https://depot.example.net/rel/4085/spool/kx73.log.brainwell.spool.kx73.log.brainwell.spool.kx73.log.brainwell.spool.kx7,False,False,False,False,0.4895741492509842,-0.18229196965694427,672,529,4232
LEARNED_JOINT,8.0,A-s11-d0-t4096,4096,proper_noun,Tobias Vantol,"Halvard Nieminen-Holmberg 📜
Halvard Nieminen-Holmberg 📜
Halvard Nieminen-Holmberg 📜
Halvard Nieminen-Holmberg",False,False,False,True,-1.5406912714242935,-1.6645296812057495,673,529,4232
LEARNED_JOINT,8.0,A-s11-d0-t4096,4096,composition,Longmere,"Ravensgate Ranges, Ravensgate, Scotland.",False,False,False,True,-4.937684840377187,-4.937778472900391,647,529,4232
LEARNED,16.0,A-s11-d0-t4096,4096,semantic,crimson,"crimson
crimson
crimson
crimson
crimson
crimson
crimson
crimson
crimson
crimson
crimson
crimson
crimson
crimson
crimson
crimson",True,True,True,False,0.9473157078027725,-0.19759152829647064,412,272,4232
LEARNED,16.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,MB-3138-XD-KP-RT-27bb-7276-7276-7276-7276-7276-7276-7,True,True,True,False,2.614055097103119,-0.22759133577346802,416,272,4232
LEARNED,16.0,A-s11-d0-t4096,4096,number,"11,583","15,983,158,625,625,625,625,625,625,625,625,625,6",False,False,False,False,-0.11516201496124268,-1.1558793783187866,418,272,4232
LEARNED,16.0,A-s11-d0-t4096,4096,date,2031-04-12,"2031-12-16.png
2031-12-16.png
2031-12-16.png
2031-12-16.png",False,False,False,False,0.3375176191329956,-0.8545345067977905,416,272,4232
LEARNED,16.0,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,7287276759276bbb776759276bbb776759276bbb776759276bbb7767,False,False,False,False,0.02109241485595703,-3.8245654106140137,414,272,4232
LEARNED,16.0,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,"/var/opt/mirren/spool/kx59.log
/var/opt/mirren/spool/kx59.log
/var/opt/mirren/spool/kx59.log
/var/opt/mirren/spool/kx",False,False,False,False,-0.7731070220470428,-1.205651044845581,414,272,4232
LEARNED,16.0,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,https://depot.example.net/rel/4062/spool/kx59.log.xbb727bb65cb727bb65cb727bb65cb727bb6,True,True,True,False,0.6775432527065277,-0.10281893610954285,415,272,4232
LEARNED,16.0,A-s11-d0-t4096,4096,proper_noun,Tobias Vantol,Tobias Vantolmbrighnighmbrighnighmbrighnighmbrighnighmbrighnighmbrighnighmbrighnighmbrighnighmbr,True,False,True,False,2.686072140932083,-0.011250466108322144,416,272,4232
LEARNED,16.0,A-s11-d0-t4096,4096,composition,Longmere,"Fennhollow Spokegate Tower in Brannwell, Scotland. Delightfully crafted in the style of a sparrow's nest, the structure is both functional and aesthetically pleasing, blending seamlessly with the surrounding landscape. The",False,False,False,False,-1.5031862258911133,-2.130072832107544,425,272,4232
LEARNED_JOINT,16.0,A-s11-d0-t4096,4096,semantic,crimson,blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue-blue,False,False,False,True,-7.313570525613613,-7.3137993812561035,405,265,4232
LEARNED_JOINT,16.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,RT-8012-KP-RT-8012-KP-RT-8012-KP-RT-8012-KP-RT-8012-KP-RT-8,False,False,False,True,-1.638641394674778,-1.7271413803100586,409,265,4232
LEARNED_JOINT,16.0,A-s11-d0-t4096,4096,number,"11,583","11,583 credits.",True,True,True,False,2.255078550428152,-0.007522109895944595,372,265,4232
LEARNED_JOINT,16.0,A-s11-d0-t4096,4096,date,2031-04-12,2031-12-04ccb8ebbec59cb9748833b9748833b9748833b9748833,False,False,False,False,1.48931185901165,-0.24042709171772003,409,265,4232
LEARNED_JOINT,16.0,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,bccbec8ebbc957ccb957ccb957ccb957ccb957ccb957ccb957ccb957ccb957ccb957ccb957,False,False,False,False,0.8682591915130615,-3.1921708583831787,407,265,4232
LEARNED_JOINT,16.0,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,"/var/opt/mirren/spool/kx77.log
/var/opt/mirren/spool/kx77.log
/var/opt/mirren/spool/kx77.log
/var/opt/mirren/spool/kx",False,False,False,False,0.7325870394706726,-0.1979353427886963,407,265,4232
LEARNED_JOINT,16.0,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,https://depot.example.net/rel/4085/spool/kx77.log.gz?token=89cb5e9c-76cb-4c8c-9c3c-89,False,False,False,False,-0.043427109718322754,-0.7154975533485413,408,265,4232
LEARNED_JOINT,16.0,A-s11-d0-t4096,4096,proper_noun,Tobias Vantol,"Halvard Brannigan 🤗
Halvard Brannigan 🤗
Halvard Brannigan 🤗
Halvard Brannigan 🤗
Halvard Brannigan 🤗
Halvard Br",False,False,False,False,0.13975708186626434,-0.1987506002187729,409,265,4232
LEARNED_JOINT,16.0,A-s11-d0-t4096,4096,composition,Longmere,Ravensgate Spokewell Tower (Ravensgate Spokewell Tower),False,False,False,True,-6.88269943834166,-6.8829193115234375,389,265,4232
NATIVE,1.0,A-s11-d0-t4096,4096,semantic,crimson,crimson,True,True,True,False,26.063643214059994,-0.0011436969507485628,4325,,4232
NOCTX,1.0,A-s11-d0-t4096,4096,semantic,crimson,UNKNOWN,False,False,False,False,-0.5244312286376953,-7.538076877593994,89,,4232
BUDGET,2.0,A-s11-d0-t4096,4096,semantic,crimson,Answer: blue,False,False,False,True,-5.489688873291016,-10.635428428649902,2205,,4232
BUDGET,4.0,A-s11-d0-t4096,4096,semantic,crimson,None,False,False,False,False,-1.9554023742675781,-12.357351303100586,1156,,4232
BUDGET,8.0,A-s11-d0-t4096,4096,semantic,crimson,None,False,False,False,False,2.361800193786621,-13.674323081970215,625,,4232
BUDGET,16.0,A-s11-d0-t4096,4096,semantic,crimson,None,False,False,False,False,5.639009475708008,-12.951520919799805,361,,4232
NATIVE,1.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,MB-3138-XD,True,True,True,False,4.73437498509884,-1.4901160305669237e-08,4329,,4232
NOCTX,1.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,Mirren-4006,False,False,False,False,0.4748692512512207,-5.718931198120117,93,,4232
BUDGET,2.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,None.,False,False,False,False,-0.042728424072265625,-6.413003921508789,2209,,4232
BUDGET,4.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,None,False,False,False,False,-0.24223041534423828,-6.2253098487854,1160,,4232
BUDGET,8.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,None,False,False,False,False,-0.31026744842529297,-6.2595109939575195,629,,4232
BUDGET,16.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,None,False,False,False,False,-0.2184886932373047,-6.558104991912842,365,,4232
NATIVE,1.0,A-s11-d0-t4096,4096,number,"11,583","11,583",True,True,True,False,4.854173183441162,0.0,4331,,4232
NOCTX,1.0,A-s11-d0-t4096,4096,number,"11,583",1250000,False,False,False,False,-0.1509850025177002,-2.8484954833984375,95,,4232
BUDGET,2.0,A-s11-d0-t4096,4096,number,"11,583","11,583",True,True,True,False,8.600239276886668,-4.7683647608209867e-07,2211,,4232
BUDGET,4.0,A-s11-d0-t4096,4096,number,"11,583",0,False,False,False,False,-0.1853189468383789,-4.77355432510376,1162,,4232
